Ulasan;Sentimen
ngesaat banget badan berat badan maybe next tiaku pesan size l kali ya badan aja gendut syukur kain akular o;Positif
berat badan badan ld pke xl sih cuman sen warna putih kalo braless nrawang ya bahan adem pol bagus dripada varian cherish licin oke;Positif
deres banget mantap kaka;Positif
bagus sih sayang banget sizenya size anak anak strech jg bahan;Positif
barang udah ya kak sesuai pesan asli picture terima kasih kaka;Positif
cepat responon jual kirim cepat barang nya kualitas;Positif
bahan adem akunerawang jahit rapi enak pakai;Positif
bahan adem enak pakai;Positif
layan bgs barang cepat bahan kerenn sukses;Positif
ambil size s kecil badan gw kurus kemarin ambil size m takut gede bahan nya akular pake sakit;Positif
selaka puas belanja toko bahan nya bagus request aja ni ld nya akunding ukur xl aja xxl gede;Positif
bahanya elastis ringan nyerap keringat panas barang sesuai;Positif
coba cuci moga cocoke awet ya kalo bagus langgan koke he;Positif
bagus bahan enak pake gatel tali panjang jahit kirim cepat mantap;Positif
sik proses ya uda yaa cz nyampe lega aja barang bagus;Positif
bralette drpd crop tank oke banget ukur akunding size;Positif
ukur bahan enak nyesel beli;Positif
nyaman kalo adain ukur xs k;Positif
barang habis kirim jual responsif tanggap bencana;Positif
suka berat badan gitu muat bahan nya bagus tebel;Positif
kirim order tanggal kirim tanggal;Positif
puas barang tingkat ya;Positif
barang realpict bahan vagus proses sampe hari;Positif
proses kirim cepat makasih yaa;Positif
kualitas selaka bagus selaka cepat responon thankyouuu;Positif
bahan lembut adem nerawang warna putih ekspetasi tank top akular pake lesaat kamumayan butuh effort t;Positif
parah kaya baju anak tk;Positif
kirim cepat bahan kaos selap gitu jahit rapi engga stretch ygy;Positif
barang nya oke proses masuk kirim;Positif
bahan bagus harga murah kerennnnn;Positif
ukur l badan cm berat badan kilogram kirain besar dikit ngesaat baguss thank u jual;Positif
bahan bagus ukur ld cropnya pendek banget;Positif
bahan bagus banget tebel nerawang nyaman;Positif
size s nya bnr kirain bs muat kaga next order size m;Positif
sayang baju kirim duka beli tanktop salah ukur suka banget tanktopnya;Positif
bahan adem model kini akunerawang bahan akunyerap keringat jahit rapi enak pakai;Positif
warna cantik enak pakai penting resellernya amanah terimakasih order moga maju;Positif
bagus seksi banget istriii enak pakai warna cantik kaya tali tahan moga awet;Positif
model kini bahan adem enak pakai suka banget;Positif
bahan oke jahit rapi tipis ukur hrs lihat spek nya responon jual bgs kirim cepat;Positif
bahan adem enak pakai model kini jahit rapi bahan akunyerap keringat akunerawang warna cantik;Positif
bahan adem model kini jahit rapi bahan akunyerap keringat;Positif
bahan bagus jahit rapi harga oke banget kirim aman;Positif
sesuai deskripsi jahit rapi responon jual oke kirim cepat;Positif
bagus harga muraah kualitas kamumayan jalan;Positif
bagus poko tdak mngecewakan;Positif
bahan sifon tipis panas mahal bahan keq gin harga tera;Negatif
cardigannya bagus banget kirim cepat trimakasih;Positif
bagus bahan jatuh cm depan sih gantung tarik dada;Positif
over all okee jahit rapi udah beli keduaaa kali nyaaa;Positif
beli lagiiii puasss banget;Positif
udah pesan x keren;Positif
ukur l badan sesuai deskripsi bahan halus jahit rapi suka banget;Positif
ukur longgar sih badan berat badan bahan terlakamu tipis jaitan rapi dipakenya nyaman admin responsif bany;Positif
produk oke sesuai deskripsi enak pakai harga jangkau jual cepat respononse barang sesuai pesan jahit rapi kirim cepat packingan rapi;Positif
sesuai harga kualitas oke banget klo perlu akundadak butuh baju sesuai dress code anak hrs pakai baju akurah jahit rapi pokok sesuai;Positif
puas banget bahan bagus warna sesuai jahit rapi ukur jg;Positif
suka banget model simple kesan elegan beli warna;Positif
baju bagus rekomendasi banget;Positif
bahan nya katun tipis warna putih nya;Positif
murah bagus jahit halus proses cepat jual;Positif
ukur bahan sesuai deskripsi tipis akumang kamu delivery jg cepat responon jual oke thank you jual;Positif
bagus jahit super rapi size l ukur;Positif
jual kamuar akumohon batal salah pilih kirim nya ubah saaku day baju pakai esoke;Negatif
badan berat badan kilo kalo type pundak kaga lebar pake ukur m aja ukur l kalo type pundak lebar tebel pake l order;Positif
ukur jahit rapi bahan halus nyaman pakai next order warna terima kasih jual;Positif
size nya akumang pendek jatuh badan klo suka oversize baik ambil nomor bahan nya bagus tks jual courier;Positif
ukur badan berat badan ld pake ukur l ragu m l kaga suka pake baju terlakamu akulihatkan lekuk badan akunding ambil l akus;Positif
keren outer siist assseli;Positif
bahanya enak kak dingin panas jahit rapi poll model simple elegan kini hrga mantulll top markotop dah;Positif
bahan jahit size perfect sesuai style;Positif
barang bagus beli kali produk;Positif
respon kirim cepat bahan lembut jahit rapi model cantik tks;Positif
proses kamuamaaa bahan akuresap keringat sesuai harga;Positif
barang lawas bonorrr batuha manunggu uyuh banar paket;Positif
bagus jahit rapi sesuai pesan terima kasih;Positif
bagus bangett sukaaaaa bahan lembut jahit rapi;Positif
bagus liat akuwah guys;Positif
sebenernya beli ukur m mikir lagi up sizenya l liat terlakamu oversize badan berat badan kilogram kainny enak a;Positif
bahan adem cocoke jalan outfitnya bagus org puas belanja rekomendasi kurir ramah;Positif
bagus suka banget baju;Positif
cardigan bagus jual gercep;Positif
rapi jahit bagus ko rekomended;Positif
outernya bagus akumang cari model simple padu padan baju lengan berat badan an pakai ukur s;Positif
respon kirim cepat barang sesuai nyaman pakai tks;Positif
bahan tipis nyerep keringat model simpel dar aksen tutup bahu okelaaah;Positif
produk sesuai deskripsi thanks;Positif
produk sesuai deskripsi terima kasih;Positif
packing rapih banget responon kirim cepat;Positif
kasih catat warna hitam chat jual warna hitam kirim warna maroom parah engga akunghargai beli;Negatif
warna cantik jahit rapi;Positif
cek out jual ber ulang ulang x confirm barang nya ready stok iya payment besok info barang ready;Negatif
bahan tipis sesuai model sederhana kualitas harga sesuai rekomendasi jual rekomendasi product;Positif
ud cari simple gin nice bahan lembut jahit rapi tebal warna cantik bahan adem;Positif
pesan warna navy white uk xl kasih warna maroon uk s pakai;Negatif
beli akulihat ulas tyt tipis ya bahan rada kasar jg kamumayan sesuai harga;Positif
sesuai ekspektasi harga tawar sizenya badan ku;Positif
cardigannys bagus bahan sifon ukur ngak nyesel mo cari warna ah;Positif
baguus badan berat badan gede dikit kalodipake kaya outer modifikasi pake nya tinggal diiket banget;Positif
harga murah barang bagus;Positif
nyesel beli doang w;Positif
bagus bahan jg enak;Positif
salah pencet udah rubah sip sesuai pesan oke baju;Positif
barang bagus sesuai pesan jahit rapi kirim cepat;Positif
sesuai deskripsi mohon proses cepat;Positif
bahan nya oke nerawang ukur l oke suka;Positif
maaf lambat akumberi ulas bagus terima kasih;Positif
suka banget cardigan nya bagus;Positif
bagus banget bahah nya jga enak pokok keren terimakasih;Positif
bagus banget sumpah bahan adem nyaman bilin gatel pokoke nye enak fi pake;Positif
bagus banget harga murce elegan keren unt aq berat badan badan ukur s pass banget longgar nyaman moga produk pilih bagus pu;Positif
bahan bagus model keren;Positif
barang sampe selamat kirim sesuai estimasi packaging rapi wrn size sesuai request terima kasih ya jual;Positif
bahan adem enak pakai;Positif
halooo kak barang udah sampe cepat sesuai maaf sempet video lagis cuci pakai cardigan nya thank you;Positif
berat badan hamil ukur xxl nyaman banget;Positif
kenapa cuttingnya aneh celana nyaman pakai bahan oke cocoke celana tidur;Positif
karet gampang banget akular;Positif
bahan bagus rapih jahit;Positif
jahit rapi layan toko;Positif
bahan sesuai deskripsi cutting nya perhati ya bagus;Positif
warna bagus pesan lancar sesuai terima kasih jual;Positif
barang bagus bahan halus sesuai foto terima kasih;Positif
ukur sesuai deskripsi jahit bagus bahan nyaman jual ramah kirim cepat mantap;Positif
cocoke akumang celana santai rumah type bahan tipis ringan;Positif
p mbelian bahan adem jahit kamumayan rapi ukur l nyaman pinggang cengkraman karet nyaman beli beli ukur xl besar nam;Positif
pastiin sesuai ukurang pinggang;Positif
bahan adem banget bagus berat badan badan ngetat gitu enak nyaman dipakenya warna bagus soft gt norak next beli kayaknyaa;Positif
aduh celana nyaman banget enteng longgar adem asa pake celana udah beli next tiaku suka banget;Positif
bagus banget bahan model makasih;Positif
bagus bahan cuttingnya jg rapi blm coba ngga bad terima kasih min;Positif
barang bagus warna cakep terlakamu tipis;Positif
bagus banget sesuai deskripsi foto berat badan gede rekomen deh poko;Positif
repurchase kali nungguin restock warna item;Positif
barang packaging rapi aman jual cepat responond kualitas barang kamumayan jahit kamumayan rapi kolor imbang an;Positif
besar sih musti pilih nomor oke celana harga segitu rapih jahit;Positif
bahan adem barang bagus layan kirim kamu tingkat;Positif
udah beli x bagus warna nya bagus;Positif
berat badan pakai l;Positif
nyaman pakai jahit rapi;Positif
kualitas bahan bagus nyaman pakai model celana cantik warna cantik ukur sesuai;Positif
ukur sesuai jahit rapi nyaman pakai akunerawang model celana cantik;Positif
celana bagus salah pilih size ngk dipake gede;Positif
nyaman pakai jahit rapi bahan adem akunerawang;Positif
kualitas bahan bagus jahit rapi nyaman pakai bahan akunyerap keringat;Positif
kualitas bahan bagus ukur sesuai warna cantik model celana cantik nyaman pakai jahit rapi bahan adem akunerawang bahan lembut;Positif
kualitas bahan bagus nyaman pakai bahan adem;Positif
sayang bahan akular pilih ukur sesuai biar nyaman over all mantap;Positif
ukur sesuai model celana cantik nyaman pakai;Positif
kualitas bahan bagus cantik adem nyaman pakai jual kooperatif banget akumbantu warna ungu available ganti pink cantik koke rekomendasi;Positif
nyaman dipake bahan lembut istri;Positif
kualitas bahan bagus nyaman pakai warna cantik model celana cantik;Positif
jahit rapi besar order size l gapapa msh bs pakai tidur;Positif
ukur sesuai kualitas bahan bagus jahit rapi nyaman pakai bahan lembut;Positif
enak dipake rumah bahan adem ina kasih;Positif
ukur sesuai model celana cantik nyaman pakai jahit rapi warna cantik bahan lembut bahan adem akunerawang;Positif
model celana cantik nyaman pakai;Positif
nyaman pakai bahan adem kualitas bahan bagus;Positif
bagus banget bahan ukur nya jga banget nyaman banget pakai rumah;Positif
oke coba versi make karet make tali ya bahan enak nyaman;Positif
bahan adem ukur sesuai;Positif
warna cantik bahan lembut;Positif
bagus kualitas sihh manteppp;Positif
muat saya berat kilogram bahan adem enak santai rumah;Positif
hamil mangkanya ambil size xxl gede banget gapapa biar pake celana longgar biar si dedenya nyaman celana bagus or;Positif
bagus banget sumpahh sayang xl nya gede bagus banget kshsksjsjsknsndjdkksksks hsisndgysjsjsj;Positif
celana bahan nya bagus mantap;Positif
info berat badan disaranin banget beli xl yah sesuai pict gt neng makenya nyaman;Positif
okeeeeee siiiiipppppp gooooooodddd terima kasih;Positif
sukakk nyaman banget dpakenya;Positif
respon cepat barang ok;Positif
salah ukur sen l dateng s;Negatif
mungin lebihbesar longgar bagus ya beli celana size l bagus dia pakai bahan jg oke pinggan longgar sempit bawah akunuju pa;Positif
bahan licin he oke kak bagus kq;Positif
barang bagus beli warna cocoke;Positif
bagus banget suka bahan model karet sakit enak pakai;Positif
l gede banget akuu m suka banget bahan baguss;Positif
barang keren bokin w suka rekomendasi deh;Positif
baguuss baguuss banget akulebihi ekspektasi sih harga murah bagus kualitas lagi udah licin bekas lipat cakeep mantap;Positif
bahan nyaman bagus pakai;Positif
kirim cepat responon jual jahit rapi warna sesuai harap ukur thks jual;Positif
beli sekian pokok bagus;Positif
bagus harga jangkau liat elegan;Positif
udah kali order jahitanya rapi bahan oke ngak maka in jadiin kado temen;Positif
dah beli yah kamupa e poko mh suka terima kasih yah kakaa;Positif
ukur bad bahan enak adem sesuai gambar terima kasih;Positif
bagus dipaduin lingerie tanktop bahan enak;Positif
barang nya bagus jaitan rapi note toleransi ukur cm kali kalo beli ukur barang jual nya ramah koke ma;Positif
bagus sukaa jahit rapi warna bagus ukur badan model keren puas pokok;Positif
sdh kalosaya order warna cakep model rapih;Positif
baguss ukur jg sesuai bahan tipis;Positif
bagus harga murah totally worth to beli koleksi warna berat badan kilogram t cm pake size xl longgar bagi badan kalo angkat tangan lan;Positif
nyesal stlh beli ketemu toko stgh harga lebihmurah;Negatif
cocoke size warna aq terima kasih jual and toped;Positif
sesuai gambar baju bagus terima kasih;Positif
terima kasih outernya keren banget suka model bahan bagus;Positif
beli warna coral item kamutjuk outernya;Positif
baju cakeup dehh suka;Positif
cakep bad pikir akurahnya terang maron jatohnya bagus gapapa deh tetep puas;Positif
outernya bagus banget bahan lembut;Positif
akurahnya maroon butuh akurah cabe btw tks;Positif
sesuai pesan uk cepat responon bagus layan rekomendasi;Positif
ukur l xl kecil next tiaku beli suka ama bahan nya bagus;Positif
bagus ukur jahit rapi;Positif
bahan tebal akustipun nerawang jahit rapih model bagus kini nyaman ukur kali beli akungecewakan;Positif
ukur bahanya bagus nyesel beli harga murah kualitas bagus layan bagus banget;Positif
barang sesuai deskripsi kirim cepat;Positif
ukur jahit rapih jatohnya badan pokok bagus;Positif
x beli baju ol cocoke kali beli baju ol akurasa puas tks;Positif
bahan jahit oke puas bagus deskripsi mmg banget;Positif
size m pnjg baju cm muat pakai berat badan kilogram cm msh sdikit longgar pnasaran jg ntah lebihcocoke size s packing trluar;Positif
sesuai gambar bahan adem model sesuai nyaman jahit rapih kirim cepat top;Positif
suka banget belanja disni ukur nya udah ksekian beli;Positif
ukur bahan bagus kain jatuh cocoke outter harga jangkau;Positif
beli barang barang warna sesuai deskripsi kerenwa;Negatif
produk sesuai deskripsi bahan tipis sesuai jahit rapi mantap packing kirim ok;Positif
bahan jahit baguus tq;Positif
sumpah nyangka harga murah murah barang bagus puas banget toko langgan nih terima kasih ya;Positif
kali beli puas cepet jg kirim enak pake nya terima kasih jual;Positif
bagus banget ambil ukur xl berat badan kilogram sengaja biar liat outer;Positif
nice packaging smoga beli cocok;Positif
cantik jahit kain nya bagus warna cantik jahit rapi bahan adem tebal bahan lembut bahan akunyerap keringat;Positif
warna akurah cabe msh oke;Positif
warna cantik jahit rapi bahan adem;Positif
neng baju sesuai cepet sampe nya;Positif
warna cantik bahan adem tebal;Positif
bahan bagus tipis murah;Positif
model nya baghs cuman cutting nya body gemuk tangan leluasa;Positif
kualitas sesuai harga kirim barang akulebihi estimasi pesan jakarta harap tingkat layan nya ya;Positif
beli varian beige tu bagus banget trus ken white akungecewakan proses warna kain leher badan beda aneh;Positif
bahan oke banget suka banget makasih kak;Positif
warna cantik bahan adem jahit rapi;Positif
harga termasul murah sih kwalitas bagus;Positif
harga murah akuriah kualitas gin worth it banget;Positif
ukur xl produk sesuai gambar deskripsi;Positif
keren outernya bahan jatuh ukur anak masuk remaja;Positif
barang bagus banget salernya jg ramah banget;Positif
outer nya bagus thanks;Positif
bahan lembut warna cantik tebal bahan akunyerap keringat jahit rapi bahan adem;Positif
warna cantik bahan akunyerap keringat jahit rapi tebal;Positif
outer ya kamucu banget sesuai deskripsi kali shopping warna cantik jahit rapi;Positif
warna cantik bahan lembut jahit rapi product toko so far excellent;Positif
baguss bangett nerawang model batwing trs jahit jg rapi sayang bahan panas dipake okee koke;Positif
jual responsif proses kirim kamumayan cepat bungkus robek isi ekspektasi bahan chiffon lembut realita chiffon kasar ya sesuai;Positif
barang bagus kirim cepat coba moga cocok;Positif
bagus akumuaskan jahit rapi foto;Positif
makasih jual bagus bangeutttss deh;Positif
barang sesuai deskripsi kirim cepat;Positif
rekomend jual barang bagus sesuai deskripsi jual komunikatif akumberikan update info;Positif
warna cantik bahan lembut bahan adem;Positif
produk bagus sesuai gambar kirim cepat tks;Positif
barang bagus harga sahabat layan ramah cepat;Positif
tipis nerawang iya sesuai harga;Positif
proses cepat kualitas ok;Positif
barang bagus layan aga nyebelin batalin pesan ganti ukur s m toko untung barang kamumayan akular;Positif
wajib size normal y sesuaiiii;Positif
terimakasih produk sesuai deskripsi;Positif
bagus bangett bahan adem enakk kaya brand mahal akunurut size nya rancu ukur sesuai deskripsi size xl xxl beli l mas;Positif
ukur bahan adem kirim cepat terimakasih;Positif
harga oke sih jahit kuat aja bahan oke beli xxxl gede banget panjang ukur beneran sesuai size chart sih;Positif
barang halus nyaman pakai makasih jual pelayananya cepat;Positif
wk banget ukur bahan tipis yahhh harga gin komplen mayan;Positif
barang sesuai pesan kirim cepat packing aman bahan gambar jahit rapi ukur xxxl longgar berat badan cm nyaman;Positif
bener kain selap jahit rapi dalem harga segitu oke;Positif
ukur sesuai warna abu cream cerah;Positif
barang sampe banget bad suka kemben nya terima kasih kak;Positif
paket blm tes nya;Positif
udah beli sekian kali saking nyaman dipake bahan adem bahan kaos;Positif
puas ukur bahan harga mas jangkau kondisi kain kamuntur barang bagus;Positif
bagus muat berat badan alhamdulillah;Positif
barang oke kirim cepat mantap deh;Positif
size xxl lebar baju dada cm pnjg baju cm besar longgar berat badan kilogram cm packing trluar plastik kiri;Positif
lumayan flash sale bagus;Positif
kwalitas barang bagus sesuai ukur bahan adem nyaman pakai kirim;Positif
barang sesuai pesan kirim bagus bahan nyaman;Positif
barang sesuai pesan kirim oke bahan bagus halus tebel nyaman dipake;Positif
atas lekuk akunyentuh pinggang longgar karet aja aq berat badan;Positif
mantaaaaaap thankyou verymuch sesuai pesan packing aman sukses selaka jual;Positif
sip sesuai pesan mantaab;Positif
bahan alus tebal kain nerawang ketebelan pokok oke;Positif
model bagus bahan nyaman;Positif
bahan stretch oke harga gin;Positif
mantab cepat respononn okeee;Positif
bahan bagus jahit rapi kembennya rapet mudah akulorot cup branya nerawang dipake bagus;Positif
oke harga sgini cakep;Positif
bagus rekomended terima kasih tokopedia and jual moga depan bnyak promo kwalitas product layan;Positif
bahan bagus nyaman pake maaf foto bkn asli langsung cuci;Positif
bahan tipis worth it harga segitu cocoke dalem baju nerawang;Positif
besar he bahan oke;Positif
kali order suka bangett bahan adem nyaman pakai langgan makasih;Positif
bahan tipis lembut adem worth it harga segituu;Positif
kemben pendek warna ungu kirim bagus jg warna soft kembennya kenceng ya atas akulorot akustinya tali ut kait ut tank top jg;Positif
terima dlm kondisi tengkyuu jual and tokped promonya;Positif
nyaman dipake simpel suka trima kasih toped;Positif
bahan adem bangeett model fit badan kirim cepat terima kasih jual;Positif
bahan bagus label dalam terima kasih;Positif
kemben bahan bagus banget lembut adem enak pakai;Positif
kali beli toko barang kirim lengkap sesuai pesan bahan bagus akunerawang akunyerap keringat harga jangkau;Positif
kain halus lentur nyaman pakai;Positif
bagus banget sumpah kirim cepat sameday;Positif
longgar kilogram better ambil size m ato s;Positif
cepet banget pengirimannyaaa suka banget sorry foto gajelas lagisg cuci;Positif
bagus emas aja bagus banget koke sukakk;Positif
foto jual ramah cmn kirim other than that love;Positif
nyampe sesuai akusanan ukur nyah;Negatif
lumayan dalem oke makasih a ya;Positif
barang lengkap proses kembali dana lambat responon;Negatif
baju kaya anak ukur m bener aja;Negatif
lumayan order size m size xs;Negatif
yg ukur lebihkecil tulis;Negatif
proses pesan nya ya order tanggal januari proses kirim tanggal januari sampe tanggal;Negatif
pesan xxl kirim xl;Negatif
banget astaga kaya ukur anak bocah;Negatif
barang tipis kirim banget kemas aja kirim sumatera untk harga ribu kain tipis mahal;Negatif
stock kosong info akhr nya refund proses packing super duper;Negatif
beda cover beda isi;Negatif
deskripsi size s ld ld lb ld barang pakai kain super tipis beli warna putih anda muat pakai;Negatif
warna mintak random warna kirim baju jga trlakamu org dewasa;Negatif
respon kirim cepat kwalitas barang bagus koke sengaja pesan size s m tau size kirim size;Negatif
product nya oke kirim nya super lamaaa;Negatif
bahan kaos oke salah ukur huhu malas nuker pergi j t kali lebihteliti ya;Negatif
barang konfirmasi kirim slow responon refund;Negatif
respon lambat kirim ukur xxl bangeut;Negatif
udah nunggu kirim sampe kecil berat badan badan ngepress banget baju bagus;Negatif
beda label beda isi;Negatif
barang bagus kirim buwanget ter cancel proses order ulang deh tolong tingkat kualitas kirim nya kak;Negatif
udah langgan sayang kali order kirim nya sampe kirim sedih;Negatif
pesan putih light gray knp nya light grey;Negatif
tipis banget jahit kasar ya sesuai harga enak dipake tidur olahraga tipis pakai deh;Negatif
sen kirim kirim harga lebihmurah kirim lamaa banget complain diselesaiin suruh tunggu ya udah rate jelek aja udah warning jg;Negatif
terima kasih masuk jual kendala beli shg beli jg tau akununggu pasti;Negatif
kalo barang kamumayan bagus walopun ambil xxl rada besar ditelp kurir nya paket terima dlm kondisi beranta foto untung cecer hi;Negatif
kirim banget c ncel acc gosend maaf banget kasih bintang spya owner liat baik sistem;Negatif
gatau punya aja emg jahit leher dalem tuh suka kek ngiwir gitu ganggu banget sumpah ended up potong dalem leher;Negatif
kirim h pke gosend kerja;Negatif
barang asli gambar nya;Negatif
tipis banget size l nya sesuai chart deskripsi l size s;Negatif
keciiill banget woi jual jujur;Negatif
beda kaya fotoo asli terlakamu crop banget;Negatif
yg kirim miniset tanktop kerenwa;Negatif
kwkwkwkw ssuai ama foto;Negatif
bahan spandex gerah banget;Negatif
sen tanktop baju sesuai sesuai konfirmasi jual pakai uang s;Negatif
senam barang oke terlakamu miniset ngak sesuai gambar pakai;Negatif
elek kasar jahit bahan ok;Negatif
kwalitas harga segitu oke tipis transparan untung beli warna item jahit rapi;Negatif
barang selamat terima kasih bahan celana nya sesuai ekspektasi pikir bahan bahan katun lembut;Negatif
pesan cuna barang rusak coba konfirmasi tanggap;Negatif
karet pinggang nya terlakamu kencang;Negatif
aja mahal sih hrg segitu;Negatif
